transaction_id,transaction_date,transaction_time,store_id,product_id,customer_id,quantity,unit_price,discount_percent,discount_amount,total_amount,payment_method,channel
TXN00000001,2023-04-15,15:14:00,ST0046,PRD00019,CUST000522,2,75.71,10,15.14,136.28,Cash,In-Store
TXN00000002,2024-04-09,14:37:00,ST0035,PRD00033,CUST000930,1,48.12,0,0.0,48.12,Credit Card,In-Store
TXN00000003,2023-04-21,13:22:00,ST0050,PRD00024,CUST000264,1,109.77,0,0.0,109.77,Debit Card,Online
TXN00000004,2024-05-07,18:27:00,ST0037,PRD00072,CUST000072,2,118.45,0,0.0,236.9,Cash,In-Store
TXN00000005,2023-11-15,13:23:00,ST0045,PRD00058,ANONYMOUS,1,28.88,0,0.0,28.88,Debit Card,In-Store
TXN00000006,2024-06-14,12:12:00,ST0010,PRD00020,CUST000762,1,178.42,0,0.0,178.42,Credit Card,In-Store
TXN00000007,2023-03-12,15:21:00,ST0040,PRD00166,CUST000464,1,224.43,0,0.0,224.43,Debit Card,In-Store
TXN00000008,2023-04-18,16:39:00,ST0003,PRD00175,CUST000005,1,139.23,0,0.0,139.23,Debit Card,In-Store
TXN00000009,2023-09-02,10:22:00,ST0025,PRD00133,CUST000249,2,149.52,0,0.0,299.04,Credit Card,In-Store
TXN00000010,2024-07-22,14:02:00,ST0020,PRD00157,ANONYMOUS,1,46.5,50,23.25,23.25,PayPal,In-Store
TXN00000011,2023-07-23,17:15:00,ST0012,PRD00083,CUST000997,1,114.84,10,11.48,103.36,Credit Card,In-Store
TXN00000012,2023-07-20,10:21:00,ST0018,PRD00033,ANONYMOUS,1,48.12,10,4.81,43.31,Credit Card,In-Store
TXN00000013,2023-11-09,10:07:00,ST0028,PRD00132,CUST000723,1,23.36,10,2.34,21.02,PayPal,In-Store
TXN00000014,2023-05-14,19:15:00,ST0014,PRD00189,CUST000512,3,82.34,0,0.0,247.02,Debit Card,In-Store
TXN00000015,2024-09-22,13:55:00,ST0045,PRD00107,CUST000456,2,107.11,0,0.0,214.22,Cash,In-Store
TXN00000016,2024-06-04,15:48:00,ST0041,PRD00079,CUST000648,3,97.17,0,0.0,291.51,Cash,In-Store
TXN00000017,2024-05-25,16:30:00,ST0012,PRD00116,CUST000722,2,24.97,10,4.99,44.95,Debit Card,In-Store
TXN00000018,2024-08-18,15:13:00,ST0049,PRD00013,CUST000279,2,131.98,10,26.4,237.56,PayPal,In-Store
